最大何倍株	オーナー株%	売上成長率_平均	経常利益率_平均	想定時価総額	売買回転率
	61.67	61.4	17.3	17782614570.0	-0.0
	12.15			7276680000.0	-0.0
3.9	1.55	16.5	2.9	61229548000.0	0.695
4.9	52.82000000000001	34.5	5.5	1995131040.0	22.003
1.7	79.0	14.8	9.1	3911600000.0	9.806
2.7	53.650000000000006	30.4	15.9	28107830000.0	0.567
6.4	97.44	19.9	26.4	5488000000.0	49.906
2.3	78.94			2322965000.0	10.022
32.1	83.32	26.2	10.8	3634000000.0	92.854
	23.130000000000003	39.1	7.7	2619996000.0	-0.0
6.6	90.46	4.3	10.6	1632540000.0	81.025
8.5	98.5	73.2	15.6	5234500000.0	50.623
8.0	77.88	33.7	13.3	3185040000.0	182.602
9.1	73.2	80.7	1.3	3186568000.0	22.589
					
82.7	35.84	55.9	9.8	36509200000.0	9.062
	84.61	36.5	2.2	7086425000.0	-0.0
1.5					
3.3					
2.5					
	16.450000000000003	75.3	5.6	2343127000.0	-0.0
5.4	44.23	24.6	6.1	1102400000.0	12.75
28.9	90.27	19.3	14.5	4273516000.0	30.896
	95.44	28.5	12.7	587977600000.0	-0.0
4.5	90.43	36.8	5.3	4425440000.0	27.488
2.3	3.23	13.2	30.5	85848000000.0	0.926
5.5	6.390000000000001	2.2	3.3	35903154000.0	1.431
3.6	76.39	25.9	8.6	7420176000.0	11.028
6.7	95.13	48.2	6.2	3977500000.0	30.965
2.6	75.53	0.1	4.0	2950950000.0	15.438
9.9	58.02	26.5	4.4	3100000000.0	65.034
7.4	67.55000000000001	69.9	31.6	8637720000.0	9.031
6.7	52.4	39.3	4.5	3192384000.0	34.571
3.8	55.92	19.4	4.7	10613200000.0	0.319
5.0	87.33	4.1	3.8	2060400000.0	121.951
7.0	57.41	44.4	14.4	6332770000.0	133.259
22.7	65.39	35.7	3.1	1881600000.0	38.642
					
3.8	74.22	48.5	3.6	26309995000.0	0.613
2.3					
16.4	80.33	37.6	6.7	3131385600.0	108.06
3.2	45.86	2.3	6.7	2446200000.0	37.735
	70.48	770.0	22.0	11107970200.0	-0.0
	29.06	12.3	4.6	1948285000.0	-0.0
16.0	86.86000000000001	33.8	16.9	3666300000.0	13.145
5.3	82.25999999999999	16.6	5.1	9018408000.0	25.224
4.7	78.41	3.5	5.8	3926880000.0	2.861
5.3	48.74	1247.2	5.0	4479513600.0	2.801
6.6	47.92	8.8	12.5	1458000000.0	46.994
2.4	40.3	5.9	11.8	6784320000.0	2.371
8.3	36.64	8.7	5.9	14566908900.0	0.746
2.3	97.54	9.7	8.3	10410400000.0	1.236
5.7	68.41	28.8	6.0	1394000000.0	20.393
2.2	78.71	81.8	9.8	17970832000.0	2.309
8.8	43.63			4233830000.0	2.248
6.9	85.96000000000001	200.7	18.4	26002118000.0	12.176
3.2	33.2	0.3	1.6	1526886550.0	16.163
3.9	0.0			39217123000.0	0.357
	97.42	35487.4	788.8	2002500000.0	-0.0
3.8	38.3	187.6	4.5	28410876000.0	0.622
	43.66	47.8	3.5	7440000000.0	-0.0
4.8	99.39	65.6	9.1	7728700000.0	0.645
2.5	83.42	12.5	7.4	6107512000.0	6.346
13.9	43.95	1205.6	23.0	3696479150.0	2.302
3.4	60.26000000000001	11.8	4.1	5642726400.0	2.128
2.8	64.46	13.4	5.1	2082704000.0	1.8
3.3	76.07	10.2	12.4	1856400000.0	5.118
2.6					
18.3	95.01999999999998	18052.7	11.1	9051243750.0	43.568
2.6	99.92	52.4	28.1	9772000000.0	3.111
2.3	25.49	9.6	13.3	10640000000.0	2.795
26.6	76.08	10.1	8.3	4073125000.0	0.0
7.5	1.75	2.7		13695600000.0	20.612
2.8	9.72	19.5	13.6	64762680000.0	1.56
1.4	3.09	4738.4	24.4	44265600000.0	1.022
4.1	68.60000000000001	47.2	2.2	1860300000.0	45.223
5.1	60.0	15.4	8.4	32100000000.0	0.0
	49.650000000000006	22.0	12.0	4754800000.0	-0.0
14.7	30.76	24.1	13.6	2454120000.0	41.182
5.4	43.46	114.5	2.5	20919340000.0	1.12
3.4	50.43	24.0	5.4	4042202000.0	1.765
3.4	97.57	172.6	34.0	28380000000.0	2.756
4.4	36.73	13.3	6.7	2262960000.0	7.62
2.4	4.63	-12.3		48348004000.0	0.91
4.4	91.81	13.6	3.8	4138880000.0	20.639
1.7	14.36	39.0	9.0	23292500000.0	1.613
2.9	53.7	20.6	5.4	3439070000.0	127.42
3.8	16.83	1771.7	26.4	505911576000.0	1.572
-0.1	2.7	18.8	5.8	64493524800.0	0.038
	80.69	16.8	2.7	3368250000.0	-0.0
	90.98	19.1	3.1	680960000.0	-0.0
3.4	44.37	14.9	10.3	2040000000.0	22.874
4.2	76.6	100.8	8.2	4373787870.0	4.51
5.9	82.52	18.1	6.5	4139342200.0	15.455
3.4	5.33	31.1	2.8	1130692000.0	5.434
2.5	69.64	9.6	8.5	5359200000.0	36.282
4.5	70.73	11.9	3.8	2568540000.0	2.527
1.8	13.6	-8.0	19.5	12303400000.0	3.594
1.9					
	71.24	51.6	6.3	6783000000.0	-0.0
2.6	93.36	28.7	5.9	6150000000.0	26.617
3.6	94.13	28.3	8.1	6014400000.0	11.84
1.6	12.03	39.1	15.5	5836800000.0	22.795
2.9	95.46	2.2	10.7	1718681100.0	22.585
	92.79	114.4	17.0	22833000000.0	-0.0
6.5	41.71	843.5	927.5	24311602000.0	1.891
2.6	27.410000000000004	44.0		10852338250.0	1.926
2.3	84.27	9957.7	3.9	75302010000.0	1.202
6.7	44.510000000000005	184.2	28.8	9070880000.0	30.95
7.4	40.1	9.8	7.0	5340060000.0	10.488
2.8	64.61	91.3	45.4	21596510000.0	8.366
4.4	53.91	25.2	6.7	3098910000.0	26.456
2.4					
3.0	72.24000000000001	216.7	8.5	4023976000.0	3.669
2.4	62.1	63.6	4.4	4646460000.0	6.566
4.6	44.61	297.2	11.6	11283760000.0	8.846
2.3	76.67	27.2	17.4	3884400000.0	2.619
4.1	60.93	21.9	8.4	9014304000.0	4.612
3.6	59.61	11.0	3.8	13548550000.0	1.3
2.5	73.56	46.4	18.6	5883840000.0	7.322
2.2	87.83	33.4	11.1	2973109260.0	31.488
	66.89	9.2	3.0	10033200000.0	-0.0
1.7	37.21	1873.0	151.1	14190000000.0	2.32
2.3	80.00999999999999	483.3	12.2	3176960000.0	12.393
1.9	69.8	48.1	4.1	4609800000.0	10.491
1.9	54.04	52.6	1.6	4976901000.0	7.506
4.7	60.43000000000001	12.7	5.3	1555000000.0	10.677
3.2	82.72999999999999	25.7	2.7	2608340000.0	5.141
2.7	78.8	8.7	5.1	1865760000.0	3.371
4.2	25.3	-13.3	3.1	2612680000.0	87.424
3.2	80.24	17.4	0.5	2655000000.0	11.852
	100.0	3.8	4.4	94806400000.0	-0.0
2.8	8.68	1032.9	69.8	9341251920.0	8.581
2.6	91.84	51.8	16.8	3060000000.0	69.913
	47.55	24.5	3.3	6839720000.0	-0.0
2.5	78.5	49.9	41.5	10347766000.0	5.798
6.9	3.54	-32.8		107089788000.0	1.521
					
2.7	53.650000000000006	30.4	15.9	28107830000.0	0.567
5.8	42.3	9.7	3.1	2159856300.0	14.629
3.7	55.02	11.7	12.3	3223697520.0	2.965
4.1	71.40999999999998	28.4	8.9	27859700000.0	16.811
2.8	2.9	963.6		15128244540.0	20.759
7.2	97.17	17.0	14.1	7720000000.0	8.507
2.1	100.0	5.8	7.2	16200000000.0	1.184
5.9	85.87	-16.8		79175305000.0	2.123
1.9	76.66	5.3	6.0	2808000000.0	1.864
	65.31	54.8	1.6	2653500000.0	-0.0
2.7	61.67	16.9	2.1	5994000000.0	2.99
3.4	42.06	18.6	3.7	1519496000.0	38.477
1.7	11.98	20.7	6.4	10700144000.0	9.933
26.3	92.37	35.7	6.9	5077400000.0	29.498
1.6	83.75	97.1	13.5	5175000000.0	1.388
2.2	60.43000000000001	41.5	10.7	8661432000.0	16.365
2.5	8.41	2018.7	21.0	2928000000.0	58.213
2.1	54.78	10.3	4.6	3394500000.0	8.444
5.4	9.54	15.0	31.6	8582797600.0	4.258
2.9	90.59	18.8	1.4	1859900000.0	6.314
24.6	28.7	130.3	17.4	12013056000.0	22.423
	89.67	11.3	5.0	720000000.0	-0.0
1.5	69.00999999999999	18.5	6.3	2926000000.0	1.624
2.2	85.39	20.6	5.7	1381764000.0	13.214
					
3.4	42.81	25.4	2.0	1898890000.0	17.986
3.0	84.4	26.1	10.3	3583964000.0	38.533
	67.72			17324020000.0	-0.0
3.6	10.27			10119600000.0	3.558
3.1	80.11	3384.5	11.1	23728880000.0	1.926
3.3	45.93	79.0	28.5	16641867500.0	0.741
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
2.2	26.33	44.3	116.2	34314114900.0	1.361
7.5	66.28999999999999	136.6	16.4	4137660000.0	6.487
	99.32	9.8	13.8	3024000000.0	-0.0
3.0	59.61	88.3	42.6	22383812000.0	1.034
18.5	97.97	-15.1		7180717755000.0	3.018
2.6	12.9	49.3	10.1	6380000000.0	6.226
2.8	87.52999999999999	57.6	17.6	4703764000.0	1.398
	82.44	108.8	6.3	3870000000.0	-0.0
10.7	95.69	280.9	13.8	2146500000.0	3.717
2.4	0.0	5.2	1.9	7350000000.0	1.805
	96.16	6.0	2.9	518300000.0	-0.0
	0.0	-17.5		70000000000.0	-0.0
2.6	64.15	20.5	1.5	7694866400.0	5.926
2.4	77.0	12.1	4.2	3206190000.0	4.56
33.8	69.42	79.8	10.0	4924896000.0	6.611
3.3	80.64999999999999	171.8	7.9	1438152000.0	4.823
3.3	36.17	33.1	9.1	4174224000.0	4.996
2.0	93.6	35.4	4.1	3726400000.0	2.655
3.1	75.69000000000001	18.5	1.9	1805600000.0	7.29
6.0	94.12	74.5	8.4	8852100000.0	4.603
4.5	81.5	21.1	6.8	7099744000.0	4.085
2.8	29.02	15.6	5.3	7658700000.0	19.27
3.6	20.64	124.7	170.1	20104350000.0	0.551
3.3	93.0	3298.6	15.3	5355000000.0	2.922
3.3	50.63	6.1	9.8	3470445000.0	8.055
2.3	28.31	-2.7	2.8	131405872950.0	0.41
6.4	71.53	13.1	3.0	6447780000.0	12.905
1.5					
2.8	56.57	0.4	4.0	2067825000.0	6.41
2.4	90.9			49292344800.0	0.495
2.5	11.28	15.2	3.2	3084584000.0	8.439
2.5	33.14	19.2	5.2	5704860000.0	1.988
7.6	97.97	10.0	2.2	2704800000.0	23.724
15.6	85.4	56.3	5.9	4213700000.0	15.448
3.4	68.93	5.9	9.3	2121600000.0	2.178
3.9	37.26	7.0	9.2	3397786000.0	5.685
2.5					
1.6	1.7400000000000002	29.8	5.5	17535089100.0	0.579
1.6	67.55	121.5	25.0	11462084400.0	7.536
4.5	43.24	66.5	36.0	7310000000.0	7.493
6.2	18.16	17.0	2.5	3993000000.0	9.076
4.9	64.92999999999999	2.0	3.3	2851200000.0	12.172
1.8					
3.8	96.77	61.5	17.5	10106500000.0	22.898
5.7	18.59	43.8	13.5	3657000000.0	8.347
2.4	88.21000000000001	11.4	22.9	4000000000.0	29.355
5.2	69.02	166.4	3.6	9055439400.0	23.462
12.0	54.49	30.9	6.0	3359505000.0	5.57
19.0	71.63999999999999	46.3	6.1	3453180000.0	34.296
6.8	84.27	43.8	8.0	204432050000.0	0.664
2.5	29.04	2546.0	11.9	5800232000.0	2.678
1.8	95.71	20.2	7.3	35536725000.0	1.373
	61.35000000000001	14.5	1.9	1768232000.0	-0.0
2.7	22.69	14.7	4.3	4840440000.0	10.085
3.6	55.12	27.6	9.0	8646140000.0	39.841
2.5	64.63	-0.5	27.3	3872800000.0	3.453
5.5	23.77	-0.9	12.5	3131590000.0	5.088
5.1	0.0	-0.7	0.5	25465427664.0	1.304
9.7	90.73	23.0	15.8	7278240000.0	3.344
3.2	74.68	196.2	11.6	2790333800.0	19.316
5.8	74.03	-15.6	10.2	8551312350.0	14.239
2.7	60.13	6.8	4.1	3588000000.0	8.395
4.9	51.06	123.7	20.7	3131520000.0	10.36
4.3	40.69	134.7	13.1	331561738900.0	1.093
3.6	24.25	130.1	39.5	38523800000.0	3.983
2.6	96.21	50.1	5.1	3726000000.0	3.54
3.6	74.28	39.8	3.8	2515170000.0	4.38
	65.46			13383414200.0	-0.0
3.3	72.41	-12.1	5.5	12135173960.0	8.568
3.9	3.08	4.9		1968510900.0	5.464
	26.4			3070080000.0	-0.0
2.6	33.33	31.9	3.7	2063632800.0	16.018
4.5	69.49	12.0	4.3	2951480000.0	15.319
6.0	57.66	43.3	16.7	2656250000.0	2.331
6.1	86.58	24.7	5.1	4464234000.0	1.456
4.3	85.72	64.0	6.9	1944000000.0	3.42
5.6	27.26	15.2	6.7	1726560000.0	91.691
2.9	45.27			16544000000.0	16.263
1.6	6.720000000000001	-19.4		27000000000.0	1.343
4.8	85.97	49.6	7.1	4196556000.0	18.545
3.0	90.84	23.3	9.7	18675604650.0	9.12
1.2	2.16	-9.2		19027992000.0	0.836
2.1	78.92	19.5	2.0	4169880000.0	2.255
6.0	86.0	35.0	7.5	6432000000.0	4.556
	94.12999999999998	18.8	1.4	27774600000.0	-0.0
3.4	73.6	6.5	8.6	17269200000.0	5.733
	81.09	44.4	1.4	5340000000.0	-0.0
4.3	84.42	32.2	21.0	12195400000.0	3.471
5.9	98.7	22.9	5.3	2910026000.0	7.386
1.5					
	99.99	9.1	16.8	6753228000.0	-0.0
2.7					
4.2	93.28	54.5	6.2	2336240000.0	24.221
4.1	98.3	22.1	20.2	3176150000.0	1.624
7.8	60.970000000000006	220.6	129.3	9416400000.0	1.651
8.3	75.47999999999999			6328147000.0	0.0
4.3	88.25	-0.2	1.1	11438000000.0	5.571
3.7	54.05	105.9	62.3	5831176000.0	5.794
3.1	22.05			13732294000.0	1.904
16.5	87.9	42.4	9.2	5396843000.0	3.671
7.3	57.12	38.0	15.9	45005800000.0	0.578
3.5	96.23	226.0	27.4	4184080290.0	2.396
4.9	39.83	206.5	127.1	29999431600.0	4.03
5.0	71.36999999999998	24.9	8.1	2196755000.0	6.911
9.9	7.32	34.1	3.4	11858800000.0	3.16
4.9	28.04	99.7	190.4	83951803800.0	1.446
3.5	57.84	53.4	9.8	4183816000.0	8.142
6.3	65.89	16.1	15.0	13559400000.0	7.198
5.7	91.67	93.3	20.4	72210616760.0	1.717
3.7	57.67	24.6	13.7	13954590000.0	3.134
5.9	35.77	135.4	51.2	35359232000.0	1.869
4.6	81.86	91.3	20.2	16997300000.0	7.724
2.3	69.48	36.2	11.7	18583200000.0	1.032
3.2	98.7	42.5	51.0	3090528000.0	4.447
2.4	0.0			49000000000.0	0.97
	94.98	27.3	16.4	2406708500.0	-0.0
9.4	93.65	75.0	15.4	14715000000.0	4.437
4.2	91.51999999999998	41.3	8.4	22043000000.0	1.806
8.2	83.35	-0.3	2.9	5713400000.0	12.368
4.2	84.21	14.7	5.6	4174355000.0	6.492
10.1	20.23	133.7	19.9	4281600000.0	80.109
18.4	21.13	155.1	118.2	31531698000.0	7.888
3.1	74.99	75.9	9.6	6171200000.0	1.369
3.0	0.0	0.8	14.8	15351000000.0	1.149
7.4	64.83000000000001	7.1	4.7	2024040000.0	7.977
7.3	96.75	43.1	13.2	28710000000.0	4.809
2.7	8.91	32.8	10.1	3888500000.0	15.62
7.4	56.06	28.4	5.2	16055520000.0	2.029
4.6	58.97	2.5	2.2	5971150000.0	18.057
2.8	74.39	8.2	8.4	2475319000.0	7.579
3.9	7.0	16.8	5.2	7893700000.0	3.302
3.7	71.19999999999999	32.7	48.1	58743000000.0	0.529
4.7	33.09	97.1	9.9	31038750000.0	1.19
2.9	44.22	18.8	7.8	6843000000.0	4.43
3.8	98.2	8.4	7.0	1984000000.0	9.509
2.0	38.01	10.0	2.6	1793604000.0	21.384
4.9	18.54			159767235000.0	0.474
4.6	68.17999999999999	37.0	33.4	19129985000.0	1.757
2.9	72.44	26.2	5.0	28899040000.0	19.512
3.3	97.08	26.3	18.9	4370000000.0	1.529
2.4	81.44	132.4	41.2	11493900000.0	3.655
6.5	76.27	20.9	8.3	5761202000.0	10.926
7.8	98.92	46.1	5.8	5080600000.0	3.142
3.4	71.27	27.8	12.1	5991983000.0	0.665
4.2	11.65	30.1	7.4	30695511000.0	1.278
2.4	43.81	-0.4	2.4	3686400000.0	3.071
6.8	72.36	23.2	13.7	2602125000.0	3.204
4.7	63.13	6.4	1.1	2478476000.0	2.361
6.9	77.9	104.6	15.8	8308500000.0	11.501
3.9	39.35	55.1	39.0	121974338475.0	2.963
	65.0	8.7	3.4	828000000.0	-0.0
6.8	97.91	9.5	6.1	4795160000.0	29.664
	45.620000000000005	7.9	3.6	4878000000.0	-0.0
5.2	71.91	11.9	4.6	3861000000.0	12.663
3.6	96.56	63.9	19.9	6558600000.0	12.1
	97.48	20.7	0.9	1754500000.0	-0.0
5.6	86.75	38.5	10.3	1476200000.0	4.083
5.0	76.61000000000001	16.7	7.3	4083820000.0	6.159
6.4	84.64999999999999	53.8	10.1	7896000000.0	4.701
5.7	53.31	112.7	50.7	7033422000.0	2.637
2.7	83.53	69.1	9.0	2342190000.0	6.654
2.7	94.0	54.6	3.7	6664260000.0	1.299
6.7	94.4	8.2	4.6	3487500000.0	1.466
3.0	15.05	11.8	3.0	5806320000.0	5.984
2.9	85.08	11.1	3.4	3693600000.0	5.043
3.0	76.43	46.8	8.0	9748275600.0	9.145
5.5	98.5	504.3	19.4	10450000000.0	4.792
6.8	10.59	34.6	7.3	12035424000.0	1.472
2.4	100.0	458.4	30.9	3320567500.0	0.897
3.2	94.63	9.0	5.8	2984940000.0	2.788
4.1	46.89	103.7	24.8	9412640000.0	7.523
2.8	75.98	2.7	3.0	2148300000.0	3.83
4.2	55.45	48.6	1.1	7300800000.0	8.184
3.0	4.78	8.4		46485020000.0	1.044
1.5	0.0			22823800000.0	0.823
2.4	63.15999999999999	4.6	4.5	3903485900.0	2.721
1.7	0.0	1.9	6.8	49127500000.0	0.944
3.7	79.86	59.2	15.1	12414803000.0	6.042
2.7	89.31	9.6	6.8	9968370000.0	2.302
2.3	55.87	8.9	5.0	2898372000.0	4.749
2.4	67.98	64.0	7.4	7925376000.0	9.708
2.5	56.790000000000006	107.5	9.1	4001600000.0	16.606
1.8	0.0			24885000000.0	0.396
1.1	0.0			9100000000.0	0.554
